year,plan_hash,estimated_cost,estimated_rows,execution_time_ms
2025,69717f558633debe61d0e88ea68c65b1,2134599.72,1,27535.494
2020,c76cc402d633d9548874f86e7a9231d0,2885240.87,1,34677.883
2015,c76cc402d633d9548874f86e7a9231d0,3186421.72,1,41593.867
2010,c76cc402d633d9548874f86e7a9231d0,3424637.06,1,44482.634
2005,c76cc402d633d9548874f86e7a9231d0,3540249.33,1,49116.173
2000,c76cc402d633d9548874f86e7a9231d0,3662586.38,1,48327.399
1995,c76cc402d633d9548874f86e7a9231d0,3712689.96,1,47508.657
1990,c76cc402d633d9548874f86e7a9231d0,3748686.32,1,51373.21
1985,c76cc402d633d9548874f86e7a9231d0,3778178.43,1,53109.449
1980,c76cc402d633d9548874f86e7a9231d0,3802620.71,1,56986.261
1975,c76cc402d633d9548874f86e7a9231d0,3826241.67,1,55708.893
1970,c76cc402d633d9548874f86e7a9231d0,3851321.35,1,59107.729
1965,c76cc402d633d9548874f86e7a9231d0,3873671.75,1,61082.196
1960,c76cc402d633d9548874f86e7a9231d0,3890013.57,1,51864.824
1955,c76cc402d633d9548874f86e7a9231d0,3902491.1,1,50172.297
1950,c76cc402d633d9548874f86e7a9231d0,3910190.1,1,55663.731
1945,c76cc402d633d9548874f86e7a9231d0,3911604.98,1,70460.208
1940,c76cc402d633d9548874f86e7a9231d0,3913018.41,1,60107.936
1935,c76cc402d633d9548874f86e7a9231d0,3915133.62,1,51444.834
1930,c76cc402d633d9548874f86e7a9231d0,3916899.9,1,52753.866
1925,c76cc402d633d9548874f86e7a9231d0,3918664.2,1,54986.836
1920,c76cc402d633d9548874f86e7a9231d0,3921138.21,1,57083.631
1915,c76cc402d633d9548874f86e7a9231d0,3975899.42,1,48674.53
1910,c76cc402d633d9548874f86e7a9231d0,3981246.8,1,50730.615
1905,c76cc402d633d9548874f86e7a9231d0,3982355.21,1,59342.707
1900,c76cc402d633d9548874f86e7a9231d0,3983415.86,1,55049.147
1895,c76cc402d633d9548874f86e7a9231d0,3983769.27,1,52886.044
