query,parameter,runtime_ms,plan_hash
query1_cast_name,2025,39278.68,69717f558633debe61d0e88ea68c65b1
query1_cast_name,2020,48003.789,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,2015,47170.592,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,2010,49561.108,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,2005,52687.821,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,2000,55004.333,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1995,63558.807,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1990,61545.581,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1985,63556.955,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1980,65105.042,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1975,62659.264,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1970,60408.399,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1965,64739.273,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1960,68492.156,c76cc402d633d9548874f86e7a9231d0
query1_cast_name,1955,66435.511,c76cc402d633d9548874f86e7a9231d0
query2_with_ratings,2025,14959.581,16890f06db6578c80b152a331a9320d4
query2_with_ratings,2020,48318.992,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,2015,44641.564,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,2010,47762.49,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,2005,47275.77,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,2000,45390.976,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1995,46026.946,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1990,49340.628,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1985,62431.865,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1980,66564.085,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1975,88231.392,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1970,72973.195,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1965,64822.235,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1960,90663.722,607c225961a3ebc630e40a4c31d370b1
query2_with_ratings,1955,74424.636,607c225961a3ebc630e40a4c31d370b1
query3_title_ratings,2025,3051.839,5b2dd46ef2f3826a01cfb5faf4e58569
query3_title_ratings,2020,7267.465,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,2015,3378.953,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,2010,3942.95,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,2005,3987.094,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,2000,4279.261,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1995,4665.792,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1990,5393.531,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1985,5956.667,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1980,4802.808,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1975,4587.758,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1970,4728.841,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1965,4502.473,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1960,4656.863,3254824e45b87c8885d0616ec404d19c
query3_title_ratings,1955,4964.931,3254824e45b87c8885d0616ec404d19c
query4_votes_selectivity,2025,4360.284,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,2020,498.145,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,2015,421.978,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,2010,415.903,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,2005,477.119,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,2000,545.241,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1995,554.328,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1990,601.431,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1985,573.911,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1980,581.616,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1975,540.108,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1970,486.545,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1965,483.311,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1960,629.458,2cb51903a9865793cb40b1843a54f391
query4_votes_selectivity,1955,578.046,2cb51903a9865793cb40b1843a54f391
query5_cast_votes,2025,7619.658,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,2020,1177.456,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,2015,1144.579,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,2010,949.094,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,2005,1103.015,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,2000,972.599,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1995,1175.896,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1990,939.725,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1985,1043.251,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1980,880.778,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1975,1116.829,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1970,1113.193,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1965,1233.885,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1960,1070.871,4b3cc722668f849cef4bd383f92e4d9d
query5_cast_votes,1955,1192.102,4b3cc722668f849cef4bd383f92e4d9d
